REF,Type,Cut-and-Paste Reference,status,group,group2,scientific.name,common.name,0,1,2,3,4,5,6
40167,Report,2015. Final Report: South Carolina State Wildlife Grant SC-T-F12AF01381 (T-59-R-1). South Carolina Department of Natural Resources. https://www.dnr.sc.gov/swap/grants/T-59-R-1.pdf.,nonindingenous,Nematode,Nematode,Anguillicola crassus ,Eel swim bladder parasite,,,,,,,
41080,Journal Article,"Abdelmonem, A.A., M.M. Metwally, H.S. Hussein, and H.M. Elsheikha. 2010. Gross and microscopic pathological changes associated with parasitic infection in European eel (Anguilla anguilla, Linnaeus 1758). Parasitology Research 106(2):463-469. https://doi.org/10.1007/s00436-009-1688-2.",nonindingenous,Nematode,Nematode,Anguillicola crassus ,Eel swim bladder parasite,,,,,,,
23905,Journal Article,"Aieta, A.E., and K. Oliveira. 2009. Distribution, prevalence, and intensity of the swim bladder parasite Anguillicola crassus in New England and eastern Canada. Diseases of Aquatic Organisms 84:229-235. http://www.int-res.com/articles/dao2009/84/d084p229.pdf.",nonindingenous,Nematode,Nematode,Anguillicola crassus ,Eel swim bladder parasite,,,,,,,
41061,Journal Article,"Ashworth, S.T., and C.R. Kennedy. 1999. Density-dependent effects on Anguillicola crassus (Nematoda) within its European eel definitive host. Parasitology 118:289-296. https://doi.org/10.1017/s0031182098003771.",nonindingenous,Nematode,Nematode,Anguillicola crassus ,Eel swim bladder parasite,,,,,,,
41062,Journal Article,"Ashworth, S.T., C.R. Kennedy, and G. Blanc. 1996. Density-dependent effects of Anguillicola crassus (Nematoda) within and on its copepod intermediate hosts. Parasitology 113:303-309. https://doi.org/10.1017/s003118200008207x.",nonindingenous,Nematode,Nematode,Anguillicola crassus ,Eel swim bladder parasite,,,,,,,
40957,Journal Article,"Audenaert, V., T. Huyse, G. Goemans, C. Belpaire, and F.A.M. Volckaert. 2003. Spatio-temporal dynamics of the parasitic nematode Anguillicola crassus in Flanders, Belgium. Diseases of Aquatic Organisms 56(3):223-233. https://doi.org/10.3354/dao056223.",nonindingenous,Nematode,Nematode,Anguillicola crassus ,Eel swim bladder parasite,,,,,,,
40137,Thesis or Dissertation,"Aziz, R.A. 2012. Helminth, protozoan and viral infections of the European eel, Anguilla anguilla. Unpublished Ph.D. dissertation. University of Salford, Salford, England.",nonindingenous,Nematode,Nematode,Anguillicola crassus ,Eel swim bladder parasite,,,,,,,
40138,Thesis or Dissertation,"Barry, J. 2015. The foraging specialisms, movement and migratory behaviour of the european eel. Unpublished Ph.D. dissertation. University of Glasgow, Glasgow, Scotland.",nonindingenous,Nematode,Nematode,Anguillicola crassus ,Eel swim bladder parasite,,,,,,,
41029,Journal Article,"Barry, J., J. McLeish, J.A. Dodd, J.F. Turnbull, P. Boylan, and C.E. Adams. 2014. Introduced parasite Anguillicola crassus infection significantly impedes swim bladder function in the European eel Anguilla anguilla (L.). Journal of Fish Diseases 37(10):921-924. https://doi.org/10.1111/jfd.12215.",nonindingenous,Nematode,Nematode,Anguillicola crassus ,Eel swim bladder parasite,,,,,,,
41030,Journal Article,"Barry, J., M. Newton, J.A. Dodd, D. Evans, J. Newton, and C.E. Adams. 2017. The effect of foraging and ontogeny on the prevalence and intensity of the invasive parasite Anguillicola crassus in the European eel Anguilla anguilla. Journal of Fish Diseases 40(9):1213-1222. https://doi.org/10.1111/jfd.12596.",nonindingenous,Nematode,Nematode,Anguillicola crassus ,Eel swim bladder parasite,,,,,,,
